id,name,user_id,category,condition,price,description,created_at
550e8400-e29b-41d4-a716-446655440001,CECS 491 Software Engineering Textbook,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Textbooks,New,45,Hardcover Edition,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440002,TI-84 Calculator,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Electronics,Like New,85.5,Working,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440003,Minifridge,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Furniture,Good,95.3,Still Works,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440004,Champion Hoodie,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Clothing,Fair,22.25,Size: XXL,2026-09-14T12:00:00Z
55058400-e29b-41d4-a716-446655440005,Basketball,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Other,Poor,5,Really worn out,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440006,2 bedroom apt,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Housing,New,,"Looking for roommate, in good condition. Will Discuss price over message",2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440007,CECS 323 Textbook,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Textbooks,Like New,35.5,Barely touched,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440008,Desk Lamp,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Furniture,Good,55,LED Desk Lamp,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440009,Macbook air,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Electronics,Fair,200,"Not in box, Few scratches.",2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440010,CECS 328 Algorithms Textbook,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Textbooks,Poor,15.5,Answers in Textbook filled out,2026-09-14T12:00:00Z
550e8400-e29b-41d4-a716-446655440011,Logitech K380 Keyboard,27d12fec-ae08-45c4-a7eb-e3947e0c370e,Electronics,New,18,Compact keyboard with USB receiver,2026-09-14T12:00:00Z
